id;Fecha;Ruta;Operadora;Proposito_del_Vuelo;Tipo_de_Aeronave;N_Registro;Total_abordo;Pasajeros_Abordo;Tripulacion_Abordo;N_Fallecidos;Pasajeros_Fallecidos;Tripulacion_Fallecida;Fallecidos_en_Tierra;año
2697;1973-08-13;Near La  Coruña, Spain;Aviaco Condor;Madrid - La Coruña;Sud-Aviation Caravelle 10-R;EC-BIC;85;79;6;85;79;6;1;1973
2698;1973-08-15;Don Don, Haiti;Private;Port Au Prince - Cap Haitien;Norman BN-2A-6;N38JA;10;9;1;10;9;1;0;1973
2699;1973-08-18;Baku, Azerbaijan, USSR;Aeroflot;Baku - Aktau;Antonov AN-24V;CCCP-46435;64;60;4;56;54;2;0;1973
2700;1973-08-22;El Yopal, Colombia;AVIANCA;Villavicencio - El Yopal;Douglas DC-3;HK-111;17;14;3;16;13;3;0;1973
2701;1973-08-27;Bogota, Colombia;Aerocondor Colombia;Bogota - Cartagena;Lockheed L-188A Electra;HK-777;42;36;6;42;36;6;0;1973
2702;1973-08-28;Near Huete, Spain;Military - U.S. Air Force;Athens - Madrid;Lockheed C-141A;63-8077;25;17;8;24;17;7;0;1973
2703;1973-08-28;Thirty-five miles west of Los Angeles, California;Trans World Airlines;Honolulu - Los Angeles;Boeing B-707-331B;N8705T;149;141;8;1;1;0;0;1973
2704;1973-09-08;King Cove, Alaska;World Airways;Travis - Cold Bay - Yokota - Clark;McDonnell Douglas DC-8-63F;N802WA;6;3;3;6;3;3;0;1973
2705;1973-09-11;Moganik, Yugoslavia;JAT Yugoslav Airlines;Skopje - Titograd;Aerospatiale Caravelle 6N;YU-AHD;41;35;6;41;35;6;0;1973
2706;1973-09-20;Natchitoches, Louisiana;Private Charter;Natchitoches, La - Dallas, TX;Beechcraft E18S;N50JR;6;5;1;6;5;1;0;1973
2707;1973-09-27;Rich Mountain, Arkansas;Texas International Airlines;Memphis - El Dorado - Texarkana - Dallas;Convair 600;N94230;11;8;3;11;8;3;0;1973
2708;1973-09-30;Miritituba, Brazil;Aeronorte;Itaituba - Jacareacanga;Douglas DC-3A;PT-CEV;9;5;4;9;5;4;0;1973
2709;1973-09-30;Near Sverdlovsk, Russia;Aeroflot;Sverdlovsk - Omsk;Tupolev TU-104B;CCCP-42506;108;100;8;108;100;8;0;1973
2710;1973-10-02;Magadan, Russia;Aeroflot;Yakutsk - Magadan;Antonov AN-12V;CCCP-12967;10;8;2;10;8;2;0;1973
2711;1973-10-13;Near  Domodedovo, Russia;Aeroflot;Tbilisi - Moscow;Tupolev TU-104B;CCCP-42486;122;114;8;122;114;8;0;1973
2712;1973-10-23;Guanabara Bay, Brazil;VASP;Rio de Janeiro - Belo Horizonte;NAMC YS-11A-211;PP-SMJ;65;60;5;8;8;0;0;1973
2713;1973-11-02;Villavicencio, Colombia;Lineas Aéreas La Urraca;Arauca - Cucuta;Handley Page HPR-7 Herald 101;HK- 718;16;12;4;6;3;3;0;1973
2714;1973-11-03;Boston,: Massachusetts;Pan American World Airways;New York City - Prestwick;Boeing B-707-321C;N458PA;3;0;3;3;0;3;0;1973
2715;1973-11-03;Near Albuquerque,  New Mexico;National Airlines;Miami, FL - San Francisco, CA;McDonnell Douglas DC-10-10;N60NA;128;116;12;1;1;0;0;1973
2716;1973-11-17;Near Quang-Ngai, South Vietnam;Air Vietnam (South Vietnam);on - Quang Ngai;Douglas DC-3;XV-NIE;27;24;3;27;24;3;0;1973
2717;1973-12-07;Moscow, USSR;Aeroflot;Mineral Waters - Moscow;Tupolev TU-104B;CCCP-42503;75;68;7;13;11;5;0;1973
2718;1973-12-16;Near Karacharovo, USSR;Aeroflot;Vilnius - Moscow;Tupolev TU-124;CCCP-45061;51;45;6;51;45;6;0;1973
2719;1973-12-17;Rome, Italy;Pan American World Airways;Rome - Beirut;Boeing B-707-321B;N407PA;177;167;10;30;29;1;0;1973
2721;1973-12-22;Near Tetouan, Morocco;Royal Air Maroc;Paris - Tanger;Sud-Aviation Caravelle VI-N;OO-SRD;106;99;7;106;99;7;0;1973
2722;1973-12-23;Lvov, Ukraine, USSR;Aeroflot;Lviv - Kiev - Kuybyshev;Tupolev TU-124;CCCP-45004;17;11;6;17;11;6;0;1973
2724;1974-01-01;Near Turin, Italy;Itavia;Bologna - Torino;Fokker F-28 Fellowship 1000;I-TIDE;42;38;4;38;35;3;0;1974
2725;1974-01-06;Johnstown, Pennsylvania;Air East;Pittsburgh, PA - Johnstown, PA;Beechcraft 99A;N125AE;17;15;2;12;11;1;0;1974
2726;1974-01-06;Unduavi, Bolivia;Servicios Aéreos Boliviano;San Borja - La Paz;Curtiss C-46F;CP-990;4;1;3;4;1;3;0;1974
2727;1974-01-06;Mukachevo, Ukraine;Aeroflot;Ivano-Frankovsk, Ukraine - Uzhgorod, Ukraine;Antonov AN-24V;CCCP-46357;24;18;6;24;18;6;0;1974
2728;1974-01-09;Near Nevia, Colombia;SATENA;Florencia - Bogota;Hawker Siddeley HS 748-260;FAC-1103;31;28;3;31;28;3;0;1974
2729;1974-01-10;La Paz, Bolivia;TAM (Bolivia);Santa Rose - La Paz;Douglas C-54;TAM-52;24;21;3;24;21;3;0;1974
2730;1974-01-17;Cigorodo, Colombia;Cessnyca;Chigorodó - Medellín;Douglas DC-3A;HK-1216;14;11;3;14;11;3;0;1974
2731;1974-01-26;Izmir, Turkey;Turkish Airlines (THY);Izmir - Istanbul;Fokker F-28 Fellowship 1000;TC-JAO;73;68;5;66;62;4;0;1974
2732;1974-01-30;Pago Pago, American Samoa;Pan American World Airways;Auckland - Pago Pago;Boeing B-707-321B;N454PA;101;91;10;97;87;10;0;1974
2733;1974-02-02;Near Honolulu, HI;Pan American World Airways;San Francisco, CA - Honolulu, HI - Agana, Guam;Boeing B-747;N732PA;298;279;19;1;1;0;0;1974
2736;1974-02-23;San Francisco de Moxos,  Bolivia;SAVCO;Trinidad - Oruro;Curtiss C-46A-45-CU;CP-1052;7;4;3;7;4;3;0;1974
2737;1974-03-03;Near Ermenonville, France;Turkish Airlines (THY);Paris - London;McDonnell Douglas DC-10-10;TC-JAV;346;335;11;346;335;11;0;1974
2738;1974-03-08;Hanoi, Vietnam;Pathet Lao Airlines;Saigon - Hanoi;Antonov An-24;XW-TCA;18;15;3;18;15;3;0;1974
2739;1974-03-13;Bishop, California;Sierra Pacific Airlines;Bishop - Burbank;Convair CV-440;N4819C;36;32;4;36;32;4;0;1974
2740;1974-03-15;Tehran, Iran;Sterling Airways;Tehran - Kobenhavn;Aerospatiale Caravelle 10B3;OY-STK;96;92;4;15;15;0;0;1974
2741;1974-04-04;Francistown, Botswana;Wenela Air Services;Francistown - Malawi;Douglas DC-4;A2-ZER;84;80;4;78;75;3;0;1974
2742;1974-04-22;Grogak, Bali, Indonesia;Pan American World Airways;Hong Kong - Bali, Indonesia - Sydney, Austrailia;Boeing B-707-321C;N446PA;107;96;11;107;96;11;0;1974
2743;1974-04-27;Near Leningrad, USSR;Aeroflot;Leningrad - Zaporozhye;Ilyushin IL-18B;CCCP-75559;109;102;7;109;102;7;0;1974
2744;1974-04-30;Galveston, Texas;Houston Metro Airlines;Galveston, TX - Houston, TX;Beechcraft 99;N853SA;12;10;2;6;5;1;0;1974
2745;1974-05-02;Banos, Ecuador;Aero Taxis Equatorianos;Pastaza - Ambato;Douglas C-47;HC-AUC;24;21;3;22;19;3;0;1974
2746;1974-05-06;Nurnberg, Germany;Fragtflug;Nice - Nurnberg;Douglas DC-6A;TF-OAE;3;0;3;3;0;3;0;1974
2747;1974-05-23;Springfield, Illinois;Saturn Airways;Alameda, CA - Indianapolis, IN;Lockheed L-100-30 Hercules;N14ST;3;1;2;3;1;2;0;1974
2748;1974-05-23;Kiev, Ukraine, USSR;Aeroflot;Khmelnitsky - Kiev;Yakovlev YAK-40;CCCP-87579;29;25;4;29;25;4;0;1974
2749;1974-05-31;Rankin Inlet, Canada;Lambair;Thompson - Rankin Inlet;Bristol 170 Freighter 31E;CF-QWJ;2;0;2;2;0;2;0;1974
2750;1974-06-08;Monte San Isidro,  Colombia;Aerolineas TAO;Bucaramanga - Cucuta;Vickers Viscount 785D;HK-1058;44;38;6;44;38;6;0;1974
2751;1974-06-27;Battambang, Khmer Republic;Cambodia Air;Battambang - Phnom Penh;Boeing 307B-1 Stratoliner;XW-TFR;39;33;6;19;17;2;0;1974
2752;1974-06-30;Umiat, Alaska;Alaska Helicopter - Air Taxi;Umiat, AK - Local;Fairchild Hiller FH1100;N8679;5;4;1;5;4;1;0;1974
2754;1974-07-27;Near Moc Hoa, Vietnam;Air Amercia;Phnom Penh - Siagon;Fairchild C-123K;ST-4;5;1;4;5;1;4;0;1974
2755;1974-08-05;Mt. Apica, PQ, Canada;Laurentian Air Services;LaTuque - St. Honore;Douglas DC-3;C-FTAT;11;8;3;5;2;3;0;1974
2756;1974-08-11;Near Ouagadougou, Upper Volta;Air  Mali;Bamako, Mali - Kano, Nigeria;Ilyushin IL-18B;TZ-ABE;60;50;10;47;39;8;0;1974
2757;1974-08-12;Cali, Colombia;AVIANCA;Tumaco - Bogota;Douglas C-47-DL;HK-508;27;24;3;27;24;3;0;1974
2758;1974-08-14;Margarita Island, Venezuela;Linea Aeropostal Venezolana;Cumana - Porlamar;Vickers Viscount 749;YV-C-AMX;49;45;4;49;45;4;0;1974
2759;1974-08-18;Near Kisangani, Zaire;Military - Zairean Air Force;Kinshasa - Kisangani;Lockheed C-130H;9T-TCD;31;24;7;31;24;7;0;1974
2760;1974-09-07;Tandjung-karang, Indonesia;Garuda Indonesia Airlines;bang - Bandar Lampung - Jakarta;Fokker F-27 Friendship 600;PK-GFJ;39;36;3;36;33;3;0;1974
2761;1974-09-08;Ionian Sea , off Kefallinia, Greece;Trans World Airlines;Tel Aviv - Athens - Rome - New York;Boeing B-707-331B;N8734;88;79;9;88;79;9;0;1974
2762;1974-09-11;Near Charlotte, North Carolina;Eastern Air Lines;Charleston, SC - Charlotte, NC - Chicago, IL;McDonnell Douglas DC-9-31;N8984E;82;78;4;70;68;2;0;1974
